Country/Region,Total_confirmed_cases,Total_deaths,Recovered_covid,Recovered_percentage,Death_percentage
Liechtenstein,8971160,117516,8853644,98.69006906576185,1.3099309342381587
Lithuania,608270188,11240472,597029716,98.15205936083127,1.847940639168724
Luxembourg,141673313,1606558,140066755,98.86601226019187,1.1339877398081315
MS Zaandam,9665,4292,5373,55.5923435075013,44.40765649249871
Madagascar,44143489,1808170,42335319,95.9038806379804,4.096119362019617
Malawi,54666386,3466456,51199930,93.6588893950297,6.341110604970302
Malaysia,2374175078,39433436,2334741642,98.33906789918717,1.6609321008128282
Maldives,99525516,393150,99132366,99.60497567277119,0.39502432722880837
Mali,19265306,1054562,18210744,94.52610822792018,5.473891772079821
Malta,55970183,954508,55015675,98.29461340156776,1.7053865984322403
Marshall Islands,3135141,6926,3128215,99.77908489602221,0.22091510397777964
Mauritania,37307802,1348942,35958860,96.38428980619122,3.615710193808791
Mauritius,104989937,941976,104047961,99.10279401348721,0.8972059865127837
Mexico,3944108014,482170378,3461937636,87.77491954357008,12.225080456429914
Micronesia,4073178,21046,4052132,99.4833027184179,0.5166972815820964
Moldova,342675759,15087130,327588629,95.59725787314882,4.402742126851173
Monaco,6720550,74514,6646036,98.89125146007395,1.1087485399260477
Mongolia,487716693,2334030,485382663,99.52143733575262,0.47856266424737687
Montenegro,153358754,3616162,149742592,97.64202439985917,2.3579756001408305
Morocco,802955610,22975114,779980496,97.13868192539312,2.861318074606889
Mozambique,136885472,2821796,134063676,97.93857159655336,2.061428403446642
Namibia,104777930,4957142,99820788,95.26890634315833,4.731093656841665
Nauru,1184912,502,1184410,99.95763398463346,0.042366015366541984
Nepal,653536904,16043286,637493618,97.54515989811648,2.4548401018835193
Netherlands,4109863466,36380778,4073482688,99.11479351319161,0.8852064868083869
New Zealand,589783509,1238314,588545195,99.79003922946241,0.20996077053758383
Nicaragua,10111277,401686,9709591,96.0273464963921,3.9726535036079023
Niger,6313963,446474,5867489,92.92878339641838,7.071216603581617
Nigeria,188300124,4804242,183495882,97.44862515332173,2.551374846678274
North Macedonia,202398382,12327072,190071310,93.90950071923005,6.090499280769942
Norway,646890941,3750968,643139973,99.42015450174623,0.5798454982537775
Oman,273461449,6370910,267090539,97.67027124909295,2.329728750907043
Pakistan,1079772495,44577728,1035194767,95.87156292585505,4.128437074144957
Palau,2074263,5296,2068967,99.74468039973716,0.25531960026284034
Panama,558467809,12859732,545608077,97.69731902309162,2.3026809769083756
Papua New Guinea,24996001,710930,24285071,97.15582504577432,2.844174954225678
Paraguay,434528549,24640262,409888287,94.3294262122234,5.6705737877766005
Peru,2499413018,341499698,2157913320,86.33680405996829,13.663195940031708
Philippines,2281636877,74724554,2206912323,96.7249585263431,3.275041473656897
Poland,3643680024,151602988,3492077036,95.83928920757505,4.1607107924249505
Portugal,2405740042,33939804,2371800238,98.58921565059107,1.4107843494089376
Qatar,282392958,1026304,281366654,99.63656884106862,0.3634311589313782
Romania,1760871192,83873014,1676998178,95.23684558069594,4.763154419304056
Russia,10578569842,441967180,10136602662,95.82205168939508,4.177948310604915
Rwanda,77702485,1791932,75910553,97.69385496487017,2.306145035129829
Saint Kitts and Nevis,2981130,43044,2938086,98.55611798210747,1.443882017892544
Saint Lucia,13983991,418234,13565757,97.00919429939565,2.9908057006043554
Saint Vincent and the Grenadines,4860875,113712,4747163,97.66066808959293,2.339331910407077
Samoa,4965233,18284,4946949,99.63175947634281,0.36824052365719795
San Marino,10185486,187272,9998214,98.16138375724044,1.8386162427595503
Sao Tome and Principe,3753278,99344,3653934,97.35314037489363,2.646859625106374
Saudi Arabia,576241072,15384788,560856284,97.33014726864177,2.6698527313582394
